pid,face_id,version,question,response,timestamp
66b3e078bef7d6dd6c53e015,Face (1),left,trust_left,4,2025-09-25T13:24:24.047856
66b3e078bef7d6dd6c53e015,Face (1),left,emotion_left,4,2025-09-25T13:24:24.047856
66b3e078bef7d6dd6c53e015,Face (1),right,trust_right,6,2025-09-25T13:24:24.047856
66b3e078bef7d6dd6c53e015,Face (1),right,emotion_right,7,2025-09-25T13:24:24.047856
66b3e078bef7d6dd6c53e015,Face (1),half,masc_choice_half,left,2025-09-25T13:24:24.047856
66b3e078bef7d6dd6c53e015,Face (1),half,fem_choice_half,right,2025-09-25T13:24:24.047856
66b3e078bef7d6dd6c53e015,Face (1),full,trust_full,5,2025-09-25T13:24:24.047856
66b3e078bef7d6dd6c53e015,Face (1),full,emotion_full,6,2025-09-25T13:24:24.047856
66b3e078bef7d6dd6c53e015,Face (1),full,masc_choice_full,left,2025-09-25T13:24:24.047856
66b3e078bef7d6dd6c53e015,Face (1),full,fem_choice_full,right,2025-09-25T13:24:24.047856
66b3e078bef7d6dd6c53e015,Face (10),left,trust_left,6,2025-09-25T13:33:44.196161
66b3e078bef7d6dd6c53e015,Face (10),left,emotion_left,5,2025-09-25T13:33:44.196161
66b3e078bef7d6dd6c53e015,Face (10),right,trust_right,3,2025-09-25T13:33:44.196161
66b3e078bef7d6dd6c53e015,Face (10),right,emotion_right,4,2025-09-25T13:33:44.196161
66b3e078bef7d6dd6c53e015,Face (10),half,masc_choice_half,right,2025-09-25T13:33:44.196161
66b3e078bef7d6dd6c53e015,Face (10),half,fem_choice_half,left,2025-09-25T13:33:44.196161
66b3e078bef7d6dd6c53e015,Face (10),full,trust_full,6,2025-09-25T13:33:44.196161
66b3e078bef7d6dd6c53e015,Face (10),full,emotion_full,6,2025-09-25T13:33:44.196161
66b3e078bef7d6dd6c53e015,Face (10),full,masc_choice_full,right,2025-09-25T13:33:44.196161
66b3e078bef7d6dd6c53e015,Face (10),full,fem_choice_full,left,2025-09-25T13:33:44.196161
66b3e078bef7d6dd6c53e015,Face (11),left,trust_left,4,2025-09-25T13:19:34.761115
66b3e078bef7d6dd6c53e015,Face (11),left,emotion_left,5,2025-09-25T13:19:34.761115
66b3e078bef7d6dd6c53e015,Face (11),right,trust_right,3,2025-09-25T13:19:34.761115
66b3e078bef7d6dd6c53e015,Face (11),right,emotion_right,3,2025-09-25T13:19:34.761115
66b3e078bef7d6dd6c53e015,Face (11),half,masc_choice_half,right,2025-09-25T13:19:34.761115
66b3e078bef7d6dd6c53e015,Face (11),half,fem_choice_half,left,2025-09-25T13:19:34.761115
66b3e078bef7d6dd6c53e015,Face (11),full,trust_full,4,2025-09-25T13:19:34.761115
66b3e078bef7d6dd6c53e015,Face (11),full,emotion_full,4,2025-09-25T13:19:34.761115
66b3e078bef7d6dd6c53e015,Face (11),full,masc_choice_full,right,2025-09-25T13:19:34.761115
66b3e078bef7d6dd6c53e015,Face (11),full,fem_choice_full,left,2025-09-25T13:19:34.761115
66b3e078bef7d6dd6c53e015,Face (12),left,trust_left,7,2025-09-25T13:09:22.915971
66b3e078bef7d6dd6c53e015,Face (12),left,emotion_left,4,2025-09-25T13:09:22.915971
66b3e078bef7d6dd6c53e015,Face (12),right,trust_right,6,2025-09-25T13:09:22.915971
66b3e078bef7d6dd6c53e015,Face (12),right,emotion_right,4,2025-09-25T13:09:22.915971
66b3e078bef7d6dd6c53e015,Face (12),half,masc_choice_half,left,2025-09-25T13:09:22.915971
66b3e078bef7d6dd6c53e015,Face (12),half,fem_choice_half,right,2025-09-25T13:09:22.915971
66b3e078bef7d6dd6c53e015,Face (12),full,trust_full,6,2025-09-25T13:09:22.915971
66b3e078bef7d6dd6c53e015,Face (12),full,emotion_full,3,2025-09-25T13:09:22.915971
66b3e078bef7d6dd6c53e015,Face (12),full,masc_choice_full,both,2025-09-25T13:09:22.915971
66b3e078bef7d6dd6c53e015,Face (12),full,fem_choice_full,both,2025-09-25T13:09:22.915971
66b3e078bef7d6dd6c53e015,Face (13),left,trust_left,5,2025-09-25T13:39:31.357640
66b3e078bef7d6dd6c53e015,Face (13),left,emotion_left,5,2025-09-25T13:39:31.357640
66b3e078bef7d6dd6c53e015,Face (13),right,trust_right,4,2025-09-25T13:39:31.357640
66b3e078bef7d6dd6c53e015,Face (13),right,emotion_right,5,2025-09-25T13:39:31.357640
66b3e078bef7d6dd6c53e015,Face (13),half,masc_choice_half,left,2025-09-25T13:39:31.357640
66b3e078bef7d6dd6c53e015,Face (13),half,fem_choice_half,right,2025-09-25T13:39:31.357640
66b3e078bef7d6dd6c53e015,Face (13),full,trust_full,6,2025-09-25T13:39:31.357640
66b3e078bef7d6dd6c53e015,Face (13),full,emotion_full,5,2025-09-25T13:39:31.357640
66b3e078bef7d6dd6c53e015,Face (13),full,masc_choice_full,left,2025-09-25T13:39:31.357640
66b3e078bef7d6dd6c53e015,Face (13),full,fem_choice_full,right,2025-09-25T13:39:31.357640
66b3e078bef7d6dd6c53e015,Face (14),left,trust_left,6,2025-09-25T13:13:55.233982
66b3e078bef7d6dd6c53e015,Face (14),left,emotion_left,5,2025-09-25T13:13:55.233982
66b3e078bef7d6dd6c53e015,Face (14),right,trust_right,7,2025-09-25T13:13:55.233982
66b3e078bef7d6dd6c53e015,Face (14),right,emotion_right,6,2025-09-25T13:13:55.233982
66b3e078bef7d6dd6c53e015,Face (14),half,masc_choice_half,left,2025-09-25T13:13:55.233982
66b3e078bef7d6dd6c53e015,Face (14),half,fem_choice_half,right,2025-09-25T13:13:55.233982
66b3e078bef7d6dd6c53e015,Face (14),full,trust_full,7,2025-09-25T13:13:55.233982
66b3e078bef7d6dd6c53e015,Face (14),full,emotion_full,5,2025-09-25T13:13:55.233982
66b3e078bef7d6dd6c53e015,Face (14),full,masc_choice_full,both,2025-09-25T13:13:55.233982
66b3e078bef7d6dd6c53e015,Face (14),full,fem_choice_full,both,2025-09-25T13:13:55.233982
66b3e078bef7d6dd6c53e015,Face (15),left,trust_left,6,2025-09-25T13:04:00.674928
66b3e078bef7d6dd6c53e015,Face (15),left,emotion_left,6,2025-09-25T13:04:00.674928
66b3e078bef7d6dd6c53e015,Face (15),right,trust_right,6,2025-09-25T13:04:00.674928
66b3e078bef7d6dd6c53e015,Face (15),right,emotion_right,4,2025-09-25T13:04:00.674928
66b3e078bef7d6dd6c53e015,Face (15),half,masc_choice_half,both,2025-09-25T13:04:00.674928
66b3e078bef7d6dd6c53e015,Face (15),half,fem_choice_half,both,2025-09-25T13:04:00.674928
66b3e078bef7d6dd6c53e015,Face (15),full,trust_full,7,2025-09-25T13:04:00.674928
66b3e078bef7d6dd6c53e015,Face (15),full,emotion_full,6,2025-09-25T13:04:00.674928
66b3e078bef7d6dd6c53e015,Face (15),full,masc_choice_full,both,2025-09-25T13:04:00.674928
66b3e078bef7d6dd6c53e015,Face (15),full,fem_choice_full,both,2025-09-25T13:04:00.674928
66b3e078bef7d6dd6c53e015,Face (16),left,trust_left,7,2025-09-25T13:05:36.194095
66b3e078bef7d6dd6c53e015,Face (16),left,emotion_left,6,2025-09-25T13:05:36.194095
66b3e078bef7d6dd6c53e015,Face (16),right,trust_right,5,2025-09-25T13:05:36.194095
66b3e078bef7d6dd6c53e015,Face (16),right,emotion_right,3,2025-09-25T13:05:36.194095
66b3e078bef7d6dd6c53e015,Face (16),half,masc_choice_half,right,2025-09-25T13:05:36.194095
66b3e078bef7d6dd6c53e015,Face (16),half,fem_choice_half,left,2025-09-25T13:05:36.194095
66b3e078bef7d6dd6c53e015,Face (16),full,trust_full,6,2025-09-25T13:05:36.194095
66b3e078bef7d6dd6c53e015,Face (16),full,emotion_full,6,2025-09-25T13:05:36.194095
66b3e078bef7d6dd6c53e015,Face (16),full,masc_choice_full,right,2025-09-25T13:05:36.194095
66b3e078bef7d6dd6c53e015,Face (16),full,fem_choice_full,left,2025-09-25T13:05:36.194095
66b3e078bef7d6dd6c53e015,Face (17),left,trust_left,4,2025-09-25T13:35:13.460811
66b3e078bef7d6dd6c53e015,Face (17),left,emotion_left,3,2025-09-25T13:35:13.460811
66b3e078bef7d6dd6c53e015,Face (17),right,trust_right,7,2025-09-25T13:35:13.460811
66b3e078bef7d6dd6c53e015,Face (17),right,emotion_right,6,2025-09-25T13:35:13.460811
66b3e078bef7d6dd6c53e015,Face (17),half,masc_choice_half,left,2025-09-25T13:35:13.460811
66b3e078bef7d6dd6c53e015,Face (17),half,fem_choice_half,right,2025-09-25T13:35:13.460811
66b3e078bef7d6dd6c53e015,Face (17),full,trust_full,6,2025-09-25T13:35:13.460811
66b3e078bef7d6dd6c53e015,Face (17),full,emotion_full,5,2025-09-25T13:35:13.460811
66b3e078bef7d6dd6c53e015,Face (17),full,masc_choice_full,left,2025-09-25T13:35:13.460811
66b3e078bef7d6dd6c53e015,Face (17),full,fem_choice_full,right,2025-09-25T13:35:13.460811
66b3e078bef7d6dd6c53e015,Face (18),left,trust_left,6,2025-09-25T13:01:05.719575
66b3e078bef7d6dd6c53e015,Face (18),left,emotion_left,7,2025-09-25T13:01:05.719575
66b3e078bef7d6dd6c53e015,Face (18),right,trust_right,7,2025-09-25T13:01:05.719575
66b3e078bef7d6dd6c53e015,Face (18),right,emotion_right,7,2025-09-25T13:01:05.719575
66b3e078bef7d6dd6c53e015,Face (18),half,masc_choice_half,right,2025-09-25T13:01:05.719575
66b3e078bef7d6dd6c53e015,Face (18),half,fem_choice_half,left,2025-09-25T13:01:05.719575
66b3e078bef7d6dd6c53e015,Face (18),full,trust_full,7,2025-09-25T13:01:05.719575
66b3e078bef7d6dd6c53e015,Face (18),full,emotion_full,7,2025-09-25T13:01:05.719575
66b3e078bef7d6dd6c53e015,Face (18),full,masc_choice_full,left,2025-09-25T13:01:05.719575
66b3e078bef7d6dd6c53e015,Face (18),full,fem_choice_full,right,2025-09-25T13:01:05.719575
66b3e078bef7d6dd6c53e015,Face (19),left,trust_left,6,2025-09-25T13:32:44.933826
66b3e078bef7d6dd6c53e015,Face (19),left,emotion_left,4,2025-09-25T13:32:44.933826
66b3e078bef7d6dd6c53e015,Face (19),right,trust_right,5,2025-09-25T13:32:44.933826
66b3e078bef7d6dd6c53e015,Face (19),right,emotion_right,5,2025-09-25T13:32:44.933826
66b3e078bef7d6dd6c53e015,Face (19),half,masc_choice_half,right,2025-09-25T13:32:44.933826
66b3e078bef7d6dd6c53e015,Face (19),half,fem_choice_half,left,2025-09-25T13:32:44.933826
66b3e078bef7d6dd6c53e015,Face (19),full,trust_full,6,2025-09-25T13:32:44.933826
